iter	Passed	Remaining
0	2	532
1	5	528
2	7	498
3	9	486
4	12	483
5	14	476
6	17	479
7	21	507
8	23	499
9	25	493
10	28	487
11	30	479
12	32	472
13	35	465
14	37	458
15	39	457
16	41	451
17	44	447
18	46	443
19	48	438
20	50	434
21	53	430
22	55	428
23	58	427
24	60	424
25	62	420
26	65	419
27	67	415
28	70	413
29	72	411
30	74	408
31	77	406
32	79	403
33	81	399
34	84	396
35	86	393
36	88	389
37	90	386
38	93	384
39	95	380
40	97	378
41	99	375
42	101	372
43	104	369
44	106	367
45	108	364
46	111	362
47	113	360
48	115	357
49	118	354
50	120	351
51	122	348
52	124	345
53	126	342
54	128	339
55	131	337
56	133	334
57	135	331
58	138	330
59	140	328
60	142	325
61	145	323
62	147	321
63	150	318
64	152	316
65	154	314
66	156	311
67	159	309
68	161	306
69	163	304
70	165	301
71	168	298
72	170	296
73	172	294
74	174	291
75	177	290
76	180	287
77	182	285
78	184	283
79	187	280
80	189	278
81	191	275
82	194	273
83	196	271
84	198	268
85	201	266
86	203	264
87	205	262
88	208	259
89	210	257
90	212	255
91	215	252
92	218	251
93	220	248
94	223	246
95	225	244
96	227	241
97	229	239
98	232	236
99	234	234
100	236	232
101	238	229
102	241	227
103	243	224
104	245	222
105	248	220
106	250	217
107	252	215
108	254	212
109	257	210
110	259	207
111	261	205
112	263	202
113	265	200
114	268	198
115	270	195
116	272	193
117	275	191
118	277	188
119	279	186
120	282	184
121	284	181
122	286	179
123	288	176
124	291	174
125	293	172
126	295	170
127	298	167
128	300	165
129	302	162
130	304	160
131	307	158
132	309	156
133	312	153
134	314	151
135	316	148
136	318	146
137	321	144
138	323	141
139	325	139
140	327	137
141	330	134
142	332	132
143	336	130
144	338	128
145	341	126
146	343	123
147	346	121
148	348	119
149	350	116
150	352	114
151	355	112
152	357	109
153	359	107
154	361	105
155	364	102
156	366	100
157	368	98
158	371	95
159	373	93
160	376	91
161	378	88
162	380	86
163	382	84
164	385	81
165	387	79
166	389	77
167	392	74
168	394	72
169	396	70
170	399	67
171	401	65
172	403	62
173	405	60
174	407	58
175	410	55
176	412	53
177	414	51
178	417	48
179	419	46
180	421	44
181	423	41
182	426	39
183	428	37
184	430	34
185	432	32
186	435	30
187	437	27
188	439	25
189	441	23
190	444	20
191	446	18
192	448	16
193	450	13
194	453	11
195	455	9
196	458	6
197	460	4
198	462	2
199	464	0
